university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
De Montfort University,Education Practice,MA,,1.0,715.0,"Leicester, United Kingdom",https://www.study.eu/university/de-montfort-university/education-practice,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Southampton,Education Practice and Innovation,MSc,,,523.0,"Southampton, United Kingdom",https://www.study.eu/university/university-of-southampton/msc-education-practice-and-innovation,Master's,📚 General/Other,⚪ Unranked/Missing Data
Maynooth University,Education (Primary),MEd,,,1835.0,"Maynooth, Ireland",https://www.study.eu/university/maynooth-university/education-primary,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education: Primary Mathematics (pathway),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-primary-mathematics-pathway,Other,📚 General/Other,⚪ Unranked/Missing Data
Maynooth University,Education -Primary Teaching,Bachelor,,,1835.0,"Maynooth, Ireland",https://www.study.eu/university/maynooth-university/education-primary-teaching-5674bb9a-8d7f-4af5-95f9-9ddd0b3ff979,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Dublin City University (DCU),Education (Primary Teaching),MEd,,2.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-primary-teaching,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Bristol,Education (Psychology of Education),MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-psychology-of-education,Master's,🧬 Health & Science,⚪ Unranked/Missing Data
University of Glasgow,"Education, Public Policy & Equity",MSc,,1.0,208.0,"Glasgow, United Kingdom",https://www.study.eu/university/university-of-glasgow/education-public-policy-equity,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
University of Helsinki,"Education, Schooling and Learning",PhD,,,79.0,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/phd-education-schooling-and-learning,Doctorate,📚 General/Other,⚪ Unranked/Missing Data
University of Latvia,Education Sciences,Master,,,935.0,"Riga, Latvia",https://www.study.eu/university/university-of-latvia/education-sciences,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Trás-os-Montes and Alto Douro,Education Sciences,PhD,,,1110.0,"Vila Real, Portugal",https://www.study.eu/university/university-of-tras-os-montes-and-alto-douro/phd-education-sciences,Doctorate,📚 General/Other,⚪ Unranked/Missing Data
European University Cyprus,Education Sciences,PhD,,3.0,2024.0,"Nicosia, Cyprus",https://www.study.eu/university/european-university-cyprus/phd-education-sciences-27993,Doctorate,📚 General/Other,⚪ Unranked/Missing Data
Maynooth University,Education (Secondary),MEd,,,1835.0,"Maynooth, Ireland",https://www.study.eu/university/maynooth-university/education-secondary,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Bristol,Education (Special and Inclusive Education),MSc,20047.0,1.0,,"Bristol, United Kingdom",https://www.study.eu/university/university-of-bristol/education-special-and-inclusive-education,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education: Special Educational Needs and Disabilities (pathway),MA,,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-special-educational-needs-and-disabilities-pathway,Other,💻 Tech & IT,⚪ Unranked/Missing Data
University of Portsmouth,Education Studies,MA,,1.0,438.0,"Portsmouth, United Kingdom",https://www.study.eu/university/university-of-portsmouth/education-studies,Other,📚 General/Other,⚪ Unranked/Missing Data
Middlesex University London,Education Studies,BA,50456.0,3.0,873.0,"London, United Kingdom",https://www.study.eu/university/middlesex-university-london/education-studies-8e5a603f-8ed4-4ec7-b95a-77f195f005b7,Other,📚 General/Other,🟠 Premium Programs
De Montfort University,Education Studies,BA (Hons),,3.0,715.0,"Leicester, United Kingdom",https://www.study.eu/university/de-montfort-university/education-studies-18590,Other,📚 General/Other,⚪ Unranked/Missing Data
The Open University,Education Studies (Primary),BA (Hons),,,,United Kingdom – programme delivered online,https://www.study.eu/university/the-open-university/education-studies-primary,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education Studies (Top-Up),BA (Hons),,1.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-studies-top-up,Other,📚 General/Other,⚪ Unranked/Missing Data
University of Derby,Education Studies with Foundation Year,BA (Hons),,4.0,1005.0,"Derby, United Kingdom",https://www.study.eu/university/university-of-derby/education-studies-with-foundation-year,Other,💻 Tech & IT,⚪ Unranked/Missing Data
De Montfort University,"Education Studies with Mandarin, French or Spanish",BA (Hons),,3.0,715.0,"Leicester, United Kingdom",https://www.study.eu/university/de-montfort-university/education-studies-with-mandarin-french-or-spanish,Other,💻 Tech & IT,⚪ Unranked/Missing Data
